Experiment,Period,AvgPrice,Fundamental,BubbleAbs,BubblePct
Choice A,1,384.49866666666674,360,24.498666666666736,6.805185185185205
Choice A,2,385.2790000000001,336,49.27900000000011,14.66636904761908
Choice A,3,379.123,312,67.12299999999999,21.51378205128205
Choice A,4,399.5153333333334,288,111.51533333333339,38.720601851851875
Choice A,5,411.39862068965516,264,147.39862068965516,55.832810867293624
Choice A,6,383.3096666666666,240,143.3096666666666,59.71236111111108
Choice A,7,323.987,216,107.98700000000002,49.99398148148149
Choice A,8,271.4733333333333,192,79.4733333333333,41.39236111111109
Choice A,9,261.1263333333333,168,93.12633333333332,55.43234126984127
Choice A,10,228.03433333333334,144,84.03433333333334,58.35717592592593
Choice A,11,175.59166666666667,120,55.59166666666667,46.32638888888889
Choice A,12,132.464,96,36.464,37.98333333333333
Choice A,13,61.12833333333334,72,-10.871666666666663,-15.099537037037031
Choice A,14,41.147999999999996,48,-6.852000000000004,-14.275000000000007
Choice A,15,15.713666666666667,24,-8.286333333333333,-34.52638888888889
Choice B,1,384.8925000000001,360,24.892500000000098,6.91458333333336
Choice B,2,386.15375,336,50.15375,14.92671130952381
Choice B,3,379.75499999999994,312,67.75499999999994,21.716346153846132
Choice B,4,388.8812500000001,288,100.88125000000008,35.02821180555558
Choice B,5,425.23,264,161.23000000000002,61.07196969696971
Choice B,6,369.31374999999997,240,129.31374999999997,53.880729166666654
Choice B,7,324.07874999999996,216,108.07874999999996,50.036458333333314
Choice B,8,267.05375000000004,192,75.05375000000004,39.090494791666686
Choice B,9,257.37375,168,89.37374999999997,53.198660714285694
Choice B,10,231.81500000000003,144,87.81500000000003,60.98263888888891
Choice B,11,166.17999999999998,120,46.17999999999998,38.48333333333331
Choice B,12,131.64625,96,35.64625000000001,37.13151041666667
Choice B,13,74.20625000000001,72,2.2062500000000114,3.064236111111127
Choice B,14,47.78125,48,-0.21875,-0.4557291666666667
Choice B,15,24.485,24,0.48499999999999943,2.0208333333333313
